model,rmse,mae,smape,picp,mpiw,params
gru,4.082547187805176,3.1592350006103516,58.542572021484375,0.42316831683168316,4.285303592681885,21265
lstm,4.5423479080200195,3.505829095840454,61.01999282836914,0.4752475247524752,5.257256031036377,25297
mlp,4.705142498016357,3.6731626987457275,63.896244049072266,0.6788778877887789,10.470720291137695,40301
cnn,4.723245620727539,3.6680338382720947,62.08509826660156,0.6716831683168317,9.982043266296387,482193
seasonal_naive,4.889927387237549,3.8617541790008545,66.43912506103516,nan,nan,0
tcn,5.373654842376709,4.320233345031738,69.22003936767578,0.4605940594059406,6.950450897216797,15217
linear,6.238307952880859,4.586470127105713,69.60626983642578,nan,nan,0
persistence,8.546372413635254,6.922853946685791,86.88004302978516,nan,nan,0
